sheet,language,n_samples,vector,precision_before,precision_after,delta_precision,recall_before,recall_after,delta_recall,jaccard_before,jaccard_after,delta_jaccard
qwen_3_5,Greek,31,keywords,0.1685,0.3982,0.2297,0.2617,0.4799,0.2181,0.1122,0.2858,0.1736
qwen_3_5,Greek,31,fields,0.1220,0.4962,0.3742,0.1317,0.3559,0.2242,0.0559,0.2812,0.2253
qwen_3_5,Greek,31,index,0.2182,0.4673,0.2492,0.3113,0.5896,0.2783,0.1592,0.3845,0.2253
qwen_3_5,Latin,1,keywords,0.1667,0.3333,0.1667,1.0000,1.0000,0.0000,0.1667,0.3333,0.1667
qwen_3_5,Latin,1,fields,0.5000,0.5000,0.0000,0.5000,0.5000,0.0000,0.3333,0.3333,0.0000
qwen_3_5,Latin,1,index,0.1429,0.1429,0.0000,0.5000,0.5000,0.0000,0.1250,0.1250,0.0000
w_en_qwen_3_5,All,53,keywords,0.2953,0.7789,0.4836,0.6172,0.8539,0.2367,0.2591,0.6967,0.4376
w_en_qwen_3_5,All,53,fields,0.3437,0.7154,0.3717,0.2805,0.5365,0.2560,0.2390,0.5006,0.2616
w_en_qwen_3_5,All,53,index,0.2200,0.5660,0.3459,0.4384,0.7368,0.2984,0.1849,0.5097,0.3248
w_en_qwen_3_5,Hebrew,38,keywords,0.2680,0.7889,0.5209,0.5872,0.8691,0.2819,0.2320,0.7066,0.4745
w_en_qwen_3_5,Hebrew,38,fields,0.3478,0.7083,0.3605,0.2772,0.5421,0.2649,0.2193,0.4921,0.2728
w_en_qwen_3_5,Hebrew,38,index,0.2285,0.4648,0.2363,0.4404,0.6960,0.2557,0.1892,0.4077,0.2185
w_en_qwen_3_5,Latin,15,keywords,0.3647,0.7537,0.3889,0.6932,0.8154,0.1222,0.3276,0.6717,0.3440
w_en_qwen_3_5,Latin,15,fields,0.3333,0.7333,0.4000,0.2889,0.5222,0.2333,0.2889,0.5222,0.2333
w_en_qwen_3_5,Latin,15,index,0.1985,0.8221,0.6237,0.4333,0.8401,0.4068,0.1739,0.7681,0.5942
