Group,Name,Language,SourceID,Level1 Id,Level2 Id,Level3 Id,Level4 Id,Analyzed [y/n],Text,ref Code,KW Ids,Keywords,Judicial Topic Ids,Juditial Topics,Index Ids,Index Terms,,Refference,
,,Hebrew,2,33,9,3,,y,"הניח בנים גדולים וקטנים, השביחו גדולים את הנכסים, השביחו לאמצע. אם אמרו ראו מה שהניח לנו אבא, הרי אנו עושים ואוכלין, השביחו לעצמן. וכן האשה שהשביחה את הנכסים, השביחה לאמצע. אם אמרה ראו מה שהניח לי בעלי, הרי אני עושה ואוכלת, השביחה לעצמה:",000200330009000300000000,"177, 178, 179, 180, 181","estate enhancement, heir, widow's inheritance, minor, adult",6,Inheritance,"332, 444","יורש, השבחת נכסים",Mishnah Bava batra 9:3,000200330009000300000000,
,,Hebrew,2,33,9,4,,y,"האחין השתפין שנפל אחד מהן לאמנות, נפל לאמצע. חלה ונתרפא, נתרפא משל עצמו. האחין שעשו מקצתן שושבינות בחיי האב, חזרה שושבינות, חזרה לאמצע, שהשושבינות נגבית בבית דין. אבל השולח לחברו כדי יין וכדי שמן, אינן נגבין בבית דין, מפני שהן גמילות חסדים:",000200330009000400000000,"66, 73, 182, 183, 184","brother, gift, public service, gifts of groomsmen, partner","5, 6, 76","Family, Inheritance, Partnership","73, 74, 446","אחים שותפים, שושבינות, גמילות חסדים",Mishnah Bava batra 9:4,000200330009000400000000,
,,Hebrew,2,33,9,5,,y,"השולח סבלונות לבית חמיו, שלח שם מאה מנה ואכל שם סעודת חתן אפלו בדינר, אינן נגבין. לא אכל שם סעודת חתן, הרי אלו נגבין. שלח סבלונות מרבין שיחזרו עמה לבית בעלה, הרי אלו נגבין. סבלונות מעטין שתשתמש בהן בבית אביה, אינן נגבין:",000200330009000500000000,"186, 187","betrothal gifts, marriage conditions","3, 21","Obligations, Marriage","76, 448","סבלונות, סעודת חתן",Mishnah Bava batra 9:5,000200330009000500000000,
,,Hebrew,2,33,9,6,,y,"שכיב מרע שכתב כל נכסיו לאחרים ושיר קרקע כל שהוא, מתנתו קימת. לא שיר קרקע כל שהוא, אין מתנתו קימת. לא כתב בה שכיב מרע, הוא אומר שכיב מרע היה והן אומרים בריא היה, צריך להביא ראיה שהיה שכיב מרע, דברי רבי מאיר. וחכמים אומרים, המוציא מחברו עליו הראיה:",000200330009000600000000,73,gift,32,Causa Mortis,"77, 354","שכיב מרע, שיור",Mishnah Bava batra 9:6,000200330009000600000000,
,,Hebrew,2,33,9,7,,y,"המחלק נכסיו על פיו, רבי אליעזר אומר, אחד בריא ואחד מסכן, נכסים שיש להן אחריות נקנין בכסף ובשטר ובחזקה, ושאין להן אחריות אין נקנין אלא במשיכה. אמרו לו, מעשה באמן של בני רוכל שהיתה חולה ואמרה תנו כבינתי לבתי והיא בשנים עשר מנה, ומתה, וקימו את דבריה. אמר להן, בני רוכל תקברם אמן. וחכמים אומרים, בשבת, דבריו קימין, מפני שאינו יכול לכתוב. אבל לא בחל. רבי יהושע אומר, בשבת אמרו, קל וחמר בחל. כיוצא בו, זכין לקטן, ואין זכין לגדול. רבי יהושע אומר, לקטן אמרו, קל וחמר לגדול:",000200330009000700000000,"180, 181, 189, 190, 191, 192, 193","minor, adult, movable property, immovable property, deathbed gift, modes of acquisition, verbal instruction","9, 10, 37","Legal Capacity, Acquisition, Deeds of Gift as Wills","79, 84, 449, 450, 451, 454","נכסים שיש להם אחריות, בריא, המחלק נכסיו על פיו, נכסים שאין להם אחריות, כסף שטר ומשיכה, מסוכן",Mishnah Bava batra 9:7,000200330009000700000000,
,,Hebrew,2,33,9,8,,y,"נפל הבית עליו ועל אביו או עליו ועל מורישיו, והיתה עליו כתבת אשה ובעל חוב, יורשי האב אומרים, הבן מת ראשון ואחר כך מת האב, בעלי החוב אומרים, האב מת ראשון ואחר כך מת הבן, בית שמאי אומרים, יחלקו. ובית הלל אומרים, נכסים בחזקתן:",000200330009000800000000,"101, 178, 194, 195, 196","marriage contract, heir, inheritance conflict, creditor, order of death",6,Inheritance,"80, 466","כתובה, נכסים בחזקתן",Mishnah Bava batra 9:8,000200330009000800000000,
,,Hebrew,2,33,9,9,,y,"נפל הבית עליו ועל אשתו, יורשי הבעל אומרים, האשה מתה ראשונה ואחר כך מת הבעל, יורשי האשה אומרים, הבעל מת ראשון ואחר כך מתה האשה, בית שמאי אומרים, יחלקו. ובית הלל אומרים, נכסים בחזקתן, כתבה בחזקת יורשי הבעל, נכסים הנכנסים והיוצאין עמה בחזקת יורשי האב:",000200330009000900000000,"101, 178, 194, 196, 198, 199","marriage contract, heir, inheritance conflict, order of death, dowry property, female succession",6,Inheritance,"80, 467, 468, 470","כתובה, יורשי הבעל, יורשי האישה, נכסים הנכנסים והיוצאים",Mishnah Bava batra 9:9,000200330009000900000000,
,,Hebrew,2,33,9,10,,y,"נפל הבית עליו ועל אמו, אלו ואלו מודים שיחלקו. אמר רבי עקיבא, מודה אני בזה שהנכסים בחזקתן. אמר לו בן עזאי, על החלוקין אנו מצטערין, אלא שבאת לחלק עלינו את השוין:",000200330009001000000000,"194, 199","inheritance conflict, female succession",6,Inheritance,466,נכסים בחזקתן,Mishnah Bava batra 9:10,000200330009001000000000,
,"Tosefta,ΒΒ",Hebrew,3,33,7,1,,y,"כל שהוא לפנים מחבירו הוא קודם את חבירו. ונחלה משמשת והולכת ועולה, אפי' עד ראובן. בן האחין זה את זה, והאחיות זו את זו, האחין את האחיות, והאחיות את האחין, נוחלין ומנחילין. ממזר מוריש את קרוביו. גוי ועבד הבאו על בת ישראל אפי' חזר הגוי ונתגייר, עבד ונשתחרר, נכסיו כנכסי הגר וכנכסי עבד משוחרר. כל הקודם בהן זכה.",000300330007000100000000,"165, 178, 200, 201, 202, 204, 205","freedperson, heir, indirect heir, convert, slave, bastard, order of succession","1, 6","Status, Inheritance","471, 472, 473","ממזר, נכסי הגר, נכסי עבד משוחרר",Tosefta Bava Batra 7:1,000300330007000100000000,
,,Hebrew,3,33,7,2,,y,"נאמנת חיה לומר זה יצא ראשון. אימתי, בזמן שאין שם ערער, אבל יש שם ערער אינה נאמנת. ר' לעזר או' אם הוחזקה על עמדה נאמנת, ואם לאו, אינה נאמנת.",000300330007000200000000,"224, 225, 226, 227","firstborn, woman testimony, order of birth, disputed inheritance","6, 30","Inheritance, Classes of Heirs","568, 569, 570","ערער, חיה, עמדה",Tosefta Bava Batra 7:2,000300330007000200000000,
,,Hebrew,3,33,7,3,,y,"היו מוחזקין בו שהוא בכור, ובשעת מתנה אמ' אינו בכור, אינו נאמן. היו מוחזקין בו שאינו בכור, ובשעת מתנה אמ' בכור הוא, נאמן. היו מוחזקין בו שהוא בכור, ובשעת מיתה אמ' בכור הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' בני הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' אינו בני, אינו נאמן. שאין בנו, ובשעת מיתתו אמ' בנו הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' אחי הוא, אינו נאמן. שהוא אחיו, ובשעת מיתתו אמ' בני הוא, נאמן. היו מוחזקין בו שהוא בנו, ובשעת מיתתו אמ' עבדו הוא, אין נאמן. שהוא עבדו, ובשעת מיתה אמ' בנו הוא, נאמן. היה עומד בין המוכסין ואמ' בני הוא, וחזר ואמ' עבדי הוא, נאמן. עבדי הוא, וחזר ואמ' בני הוא, אין נאמן.",000300330007000300000000,"224, 227, 229, 232","firstborn, disputed inheritance, deathbed statement, presumed heir","1, 6, 30, 33, 37","Status, Inheritance, Classes of Heirs, Disinheritance, Deeds of Gift as Wills","61, 353, 571, 575","בכור, נאמנות, מתנה, מוחזק",Tosefta Bava Batra 7:3,000300330007000300000000,
,,Hebrew,3,33,7,4,,y,"אין הבכור נוטל פי שנים בשבח שהשביחו נכסים לאחר מיתת אביהן. ר' או' אומ' אני הבכור נוטל פי שנים בשבח שהשביחו נכסים לאחר מיתת אביהן, שאף שלו השביח בשלהן. כיצד, היתה לו בהמה מוחכרת, ומושכרת, אצל אחרים, ופרה רועה באפר, הבכור נוטל פי שנים. ואין נוטל פי שנים בזרוע ובלחיים ובקיבה.",000300330007000400000000,"224, 233, 234","firstborn, double portion, enhancement","6, 104","Inheritance, Firstborn Inheritance Rights","61, 71, 578","בכור, שבח נכסים, פי שנים",Tosefta Bava Batra 7:4,000300330007000400000000,
,,Hebrew,3,33,7,5,,y,"ר' או' כל דבר שלא פילפלו בו יתומין לאחר מיתת אביהן הבכור נוטל פי שנים. וחכמים או' אין נוטל פי שנים אלא בכל אשר ימצא לו. אבל בנה בניין, נטע נטיעות, הכל שוין שנוטל פי שנים.",000300330007000500000000,"177, 224, 233","estate enhancement, firstborn, double portion","6, 104","Inheritance, Firstborn Inheritance Rights","61, 361, 578, 579","בכור, יתומים, פי שנים, פילפול",Tosefta Bava Batra 7:5,000300330007000500000000,
