Group,Name,Language,SourceID,Level1 Id,Level2 Id,Level3 Id,Level4 Id,Analyzed [y/n],Text,ref Code,KW Ids,Keywords,Judicial Topic Ids,Juditial Topics,Index Ids,Index Terms,,Refference,
,,Latin,54,20,11,,,y,"Qui de statu suo incertus est factus, quod patre peregre mortuo ignorat, 
se sui iuris esse, testamentum facere non potest.
",005400200011000000000000,"150, 162, 163","father, dependents, son","9, 29","Legal Capacity, Testaments","367, 417","sui iuris, incertus","Ulp. 20, 11",005400200011000000000000,
,,Latin,54,20,12,,,y,"Inpubes, licet sui iuris sit, facere testamentum non potest, quoniam 
nondum plenum iudicium animi habet.",005400200012000000000000,180,minor,"29, 49","Testaments, Minors","367, 418","sui iuris, impubes","Ulp. 20, 12",005400200012000000000000,
,,Latin,54,20,13,,,y,"Mutus, surdus, furiosus, item prodigus, cui lege bonis interdictum est, 
testamentum facere non possunt: mutus, quoniam verba nuncupationis loqui 
non potest; surdus, quoniam verba familiae emptoris exaudire non potest; 
furiosus, quoniam mentem non habet, ut testari de ea re possit; prodigus, 
quoniam commercium in illi interdictum est, et ob id familiam mancipare 
non potest.",005400200013000000000000,"152, 153, 164","deaf, mentally impaired, mute","9, 34, 50","Legal Capacity, Capacity, Mental Disability","47, 408, 419, 420, 421","furiosus, familia emptor, prodigus, mutus, surdus","Ulp. 20, 13",005400200013000000000000,
,,Latin,54,20,14,,,y,"Latinus Iunianus, item is, qui dediticiorum numero est, testamentum 
facere non potest: Latinus quidem, quoniam nominatim lege Iunia 
prohibitum est; is autem, qui dediticiorum numero est, quoniam nec quasi 
civis Romanus testari potest, cum sit peregrinus, nec quasi peregrinus, 
quoniam nullius certae civitatis civis est, ut secundum leges civitatis 
suae testetur.",005400200014000000000000,"156, 165, 167, 168","Junian Latin, freedperson, laws of another country, freedperson without citizen ri","7, 9, 29","Citizenship, Legal Capacity, Testaments","240, 422, 423, 424","peregrinus, dediticii, leges civitatis, civis Romanus","Ulp. 20, 14",005400200014000000000000,
,,Latin,54,20,15,,,y,"Feminae post duodecimum annum aetatis testamenta facere possunt, tutore 
auctore, donec in tutela sunt.",005400200015000000000000,"151, 169, 170","woman, tutor, age of legal capacity","29, 48, 49","Testaments, Guardianship, Minors",49,tutela,"Ulp. 20, 15",005400200015000000000000,
,,Latin,54,20,16,,,y,"Servus publicus populi Romani partis dimidiae testamenti faciendi habet 
ius.",005400200016000000000000,161,peculium,"8, 29","Slavery, Testaments",425,servus publicus,"Ulp. 20, 16",005400200016000000000000,
,,Latin,54,21,1,,,n,"Heres institui recte potest his verbis: ""Titius heres esto, Titius 
heres sit, Titium heredem esse iubeo""; illa autem institutio ""heredem 
instituo, heredem facio"" plerisque inprobata est.",005400210001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 21, 1",005400210001000000000000,
,,Latin,54,22,1,,,n,"Heredes institui possunt, qui testamenti factionem cum testatore habent.",005400220001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 1",005400220001000000000000,
,,Latin,54,22,2,,,n,"Dediticiorum numero heres institui non potest, quia peregrinus est, cum 
quo testamenti factio non est.",005400220002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 2",005400220002000000000000,
,,Latin,54,22,3,,,n,"Si quidem mortis testatoris tempore vel intra diem cretionis civis 
Romanus sit, heres esse potest; quodsi Latinus manserit, lege Iunia 
capere hereditatem prohibetur. Idem iuris est in persona caelibis propter 
legem Iuliam.",005400220003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 3",005400220003000000000000,
,,Latin,54,22,4,,,n,"Incerta persona heres institui non potest, velut hoc modo: ""quisquis 
primus ad funus meum venerit, heres esto""; quoniam certum consilium debet 
esse testantis.",005400220004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 4",005400220004000000000000,
,,Latin,54,22,5,,,n,"Nec municipia nec municipes heredes institui possunt, quoniam incertum 
corpus est, et neque cernere universi neque pro herede gerere possunt, ut 
heredes fiant: senatus consulto tamen concessum est, ut a libertis suis 
heredes institui possint. Sed fideicommissaria hereditas municipibus 
restitui potest; denique hoc senatus consulto prospectum est.
",005400220005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 5",005400220005000000000000,
,,Latin,54,22,6,,,n,"Deos heredes instituere non possumus praeter eos, quos senatus consulto 
constitutionibus principum instituere concessum est, sicuti Iovem 
Tarpeium , Apollinem Didymaeum Mileti, Martem in Gallia, Minervam 
Iliensem, Herculem Gaditanum, Dianam Efesiam, matrem deorum Sipylenen, 
Nemesim quae Smyrnae colitur, et Caelestem Salinensem Carthaginis.
",005400220006000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 6",005400220006000000000000,
,,Latin,54,22,7,,,n,"Servos heredes instituere possumus, nostros cum libertate, alienos sine 
libertate, communes cum libertate vel sine libertate.
",005400220007000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 7",005400220007000000000000,
,,Latin,54,22,8,,,n,"Eum servum, qui tantum in bonis noster est, nec cum libertate heredem 
instituere possumus, quia Latinitatem consequitur, quod non proficit ad 
hereditatem capiendam.",005400220008000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 8",005400220008000000000000,
,,Latin,54,22,9,,,n,"Alienos servos heredes instituere possumus eos tantum, quorum cum 
dominis testamenti factionem habemus.",005400220009000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 9",005400220009000000000000,
,,Latin,54,22,10,,,n,"Communis servus cum libertate recte quidem heres instituitur quasi 
proprius pro parte nostra; sine libertate autem quasi alienus propter 
socii partem.",005400220010000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 10",005400220010000000000000,
,,Latin,54,22,11,,,n,"Proprius servus cum libertate heres institutus si quidem in eadem causa 
permanserit, ex testamento liber et heres fit, id est necessarius.
",005400220011000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 11",005400220011000000000000,
,,Latin,54,22,12,,,n,"Quod si ab ipso testatore vivente manumissus vel alienatus sit, suo 
arbitrio vel iussu emptoris hereditatem adire potest. Sed si sine 
libertate sit institutus, omnino non consistit institutio.",005400220012000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 12",005400220012000000000000,
,,Latin,54,22,13,,,n,"Alienus servus heres institutus si quidem in ea causa permanserit, iussu 
domini debet hereditatem adire; quod si vivo testatore manumissus aut 
alienatus a domino fuerit, aut suo arbitrio aut iussu emptoris poterit 
adire hereditatem.
",005400220013000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 13",005400220013000000000000,
,,Latin,54,22,14,,,n,"Sui heredes instituendi sunt vel exheredandi. sui autem heredes sunt 
liberi, quos in potestate habemus, tam naturales quam adoptivi; item 
uxor, quae in manu est, et nurus, quae in manu est filii, quem in 
potestate habemus.",005400220014000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 14",005400220014000000000000,
,,Latin,54,22,15,,,n,"Postumi quoque liberi, id est, qui in utero sunt, si tales sunt, ut nati 
in potestate nostra futuri sint, suorum heredum numero sunt.",005400220015000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 15",005400220015000000000000,
,,Latin,54,22,16,,,n,"Ex suis heredibus filius quidem neque heres institutus, neque nominatim 
exheredatus, non patitur valere testamentum.",005400220016000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 16",005400220016000000000000,
,,Latin,54,22,17,,,n,"Reliquae vero personae liberorum, velut filia, nepos, neptis, si 
praeteritae sint, valet testamentum, scriptis heredibus adcrescunt, suis 
quidem heredibus in partem virilem, extraneis autem in partem dimidiam.",005400220017000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 17",005400220017000000000000,
,,Latin,54,22,18,,,n,"Postumi quoque liberi cuiuscumque sexus omissi, quod valuit testamentum, 
agnatione rumpunt.",005400220018000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 18",005400220018000000000000,
,,Latin,54,22,19,,,n,"Eos, qui in utero sunt, si nati sui heredes nobis futuri sunt, possumus 
instituere heredes: si quidem post mortem nostram nascantur, ex iure 
civili; si vero viventibus nobis, ex lege Iunia.
",005400220019000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 19",005400220019000000000000,
,,Latin,54,22,20,,,n,"Filius, qui in potestate est, si non instituatur heres, nominatim 
exheredari debet; reliqui sui heredes utriusque sexus aut nominatim aut 
inter ceteros.
",005400220020000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 20",005400220020000000000000,
,,Latin,54,22,21,,,n," Postumus filius nominatim exheredandus est; filia postuma ceteraeque 
postumae feminae vel nominatim vel inter ceteros; dummodo inter ceteris 
exheredatis aliquid legetur.
",005400220021000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 21",005400220021000000000000,
,,Latin,54,22,22,,,n,"Nepotes et pronepotes ceterique masculi postumi praeter filium vel 
nominatim vel inter ceteros cum adiectione legati sunt exheredandi; sed 
tutius est tamen nominatim eos exheredari; et id observatur magis.",005400220022000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 22",005400220022000000000000,
,,Latin,54,22,23,,,n,"Emancipatos liberos quamvis iure civili neque heredes instituere neque 
exheredare necesse sit, tamen praetor iubet, si non instituantur heredes, 
exheredari, masculos omnes nominatim, feminas vel inter ceteros; alioquin 
contra tabulas bonorum possessionem eis pollicetur.",005400220023000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 23",005400220023000000000000,
,,Latin,54,22,24,,,n,"Inter necessarios heredes, id est servos cum libertate heredes scriptos, 
et suos et necessarios, id est liberos, qui in potestate sunt, iure 
civili nihil interest: nam utrique etiam inviti heredes sunt. Sed iure 
praetorio suis et necessariis heredibus abstinere se a parentis 
hereditate permittitur; necessariis autem tantum heredibus abstinendi 
potestas non datur.",005400220024000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 24",005400220024000000000000,
,,Latin,54,22,25,,,n,"Extraneus heres si quidem cum cretione sit heres institutus, cernendo 
fit heres; si vero sine cretione, pro herede gerendo.",005400220025000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 25",005400220025000000000000,
,,Latin,54,22,26,,,n,"Pro herede gerit, qui rebus hereditariis tamquam dominus utitur, velut 
qui auctionem rerum hereditariarum facit, aut servis hereditariis cibaria 
dat.",005400220026000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 26",005400220026000000000000,
,,Latin,54,22,27,,,n,"Cretio est certorum dierum spatium, quod datur instituto heredi ad 
deliberandum, utrum expediat ei adire hereditatem nec ne, velut: "" Titius 
heres esto cernitoque in diebus centum proximis, quibus scieris 
poterisque. nisi ita creveris, exheres esto"".",005400220027000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 27",005400220027000000000000,
,,Latin,54,22,28,,,n,"""cernere"" est verba cretionis dicere ad hunc modum: ""quod me Maevius 
heredem instituit, eam hereditatem adeo cernoque"".",005400220028000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 28",005400220028000000000000,
,,Latin,54,22,29,,,n,"Sine cretione heres institutus si constituerit, nolle se heredem esse, 
statim excluditur ab hereditate, et amplius eam adire non potest.",005400220029000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 29",005400220029000000000000,
,,Latin,54,22,30,,,n,"Cum cretione vero heres institutus sicut cernendo fit heres, ita non 
aliter excluditur, quam si intra diem cretionis non creverit: ideoque 
etiamsi constituerit, nolle se heredem esse, tamen, si supersint dies 
cretionis, paenitentia actus cernendo heres fieri potest.
",005400220030000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 30",005400220030000000000000,
,,Latin,54,22,31,,,n,"Cretio aut vulgaris dicitur aut continua: vulgaris, in qua adiciuntur 
haec verba: ""quibus scieris poterisque""; continua, in qua non 
adiciuntur.
",005400220031000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 31",005400220031000000000000,
,,Latin,54,22,32,,,n,"Ei, qui vulgarem cretionem habet, dies illi dumtaxat computantur, quibus 
scivit, se heredem institutum esse, et potuit cernere; ei vero, qui 
continuam habet cretionem, etiam illi dies computantur, quibus ignoravit 
se heredem institutum, aut scivit quidem, sed non potuit cernere.
",005400220032000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 32",005400220032000000000000,
,,Latin,54,22,33,,,n,"Heredes aut instituti dicuntur aut substituti: instituti, qui primo 
gradu scripti sunt; substituti, qui secundo gradu vel sequentibus heredes 
scripti sunt, velut: ""Titius heres esto cernitoque in diebus proximis 
centum, quibus scies poterisque. nisi ita creveris, exheres esto. tunc 
Mevius heres esto cernitoque in diebus et reliqua"". similiter et deinceps 
substitui potest.",005400220033000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 33",005400220033000000000000,
,,Latin,54,22,34,,,n,"Si sub inperfecta cretione heres institutus sit, id est non adiectis his 
verbis: ""si non creveris, exheres esto"", sed si ita: ""si non creveris, 
tunc Mevius heres esto"", cernendo quidem superior inferiorem excludit; 
non cernendo autem, sed pro herede gerendo in partem admittit 
substitutum: sed postea divus Marcus constituit, ut et pro herede gerendo 
ex asse fiat heres. Quodsi neque creverit, neque pro herede gesserit, 
ipse excluditur, et substitutus ex asse fit heres.",005400220034000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 22, 34",005400220034000000000000,
,,Latin,54,23,1,,,n,"Testamentum iure factum infirmatur duobus modis, si ruptum aut inritum 
factum sit.",005400230001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 1",005400230001000000000000,
,,Latin,54,23,2,,,n,"Rumpitur testamentum mutatione, id est, si postea aliud testamentum iure 
factum sit; item agnatione, id est, si suus heres agnascatur, qui neque 
heres institutus, neque ut oportet exheredatus sit.",005400230002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 2",005400230002000000000000,
,,Latin,54,23,3,,,n,"Agnascitur suus heres aut agnascendo, aut adoptando, aut in manum 
conveniendo, aut in locum sui heredis succedendo, velut nepos mortuo 
filio vel emancipato, aut manumissione, id est, si filius ex prima 
secundave mancipatione manumissus reversus sit in patris potestatem.",005400230003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 3",005400230003000000000000,
,,Latin,54,23,4,,,n,"Inritum fit testamentum, si testator capite diminutus fuerit, aut si 
iure facto testamento nemo extiterit heres.
",005400230004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 4",005400230004000000000000,
,,Latin,54,23,5,,,n,"Si is, qui testamentum fecit, ab hostibus captus sit, testamentum eius 
valet, si quidem reversus fuerit, iure postliminii; si vero ibi 
decesserit, ex lege Cornelia, quae perinde successionem eius confirmat, 
atque si in civitate decessisset.",005400230005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 5",005400230005000000000000,
,,Latin,54,23,6,,,n,"Si septem signis testium signatum sit testamentum, licet iure civili 
ruptum vel irritum factum sit, praetor scriptis heredibus iuxta tabulas 
bonorum possessionem dat, si testator et civis Romanus et suae 
potestatis, cum moreretur, fuit; quam bonorum possessionem cum re, id est 
cum effectu, habent, si nemo alius iure heres sit.",005400230006000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 6",005400230006000000000000,
,,Latin,54,23,7,,,n,"Liberis inpuberibus in potestate manentibus, tam natis quam postumis, 
heredes substituere parentes possunt duplici modo, id est aut eo, quo 
extraneis, ut, si heredes non extiterint liberi, substitutus heres fiat; 
aut proprio iure, ut si post mortem parentis heredes facti intra 
pubertatem decesserint, substitutus heres fiat.",005400230007000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 7",005400230007000000000000,
,,Latin,54,23,8,,,n, Etiam exheredatis filiis substituere parentibus licet.,005400230008000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 8",005400230008000000000000,
,,Latin,54,23,9,,,n,"Non aliter inpuberi filio substituere quis heredem potest, quam si sibi 
quis heredem instituerit vel ipsum filium vel quemlibet alium.",005400230009000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 9",005400230009000000000000,
,,Latin,54,23,10,,,n,"Milites quomodocumque fecerint testamenta, valent, id est etiam sine 
legitima observatione. Nam principalibus constitutionibus permissum est 
illis, quomodocumque vellent, quomodocumque possent, testari. idque 
testamentum, quod miles contra iuris regulam fecit, ita demum valet, si 
vel in castris mortuus sit, vel post missionem intra annum.",005400230010000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 23, 10",005400230010000000000000,
,,Latin,54,24,1,,,n,"Legatum est, quod legis modo, id est imperative, testamento relinquitur. 
Nam ea, quae precativo modo relinquuntur, fideicommissa vocantur.",005400240001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 1",005400240001000000000000,
,,Latin,54,24,2,,,n,"Legamus autem quattuor modis: per vindicationem, per damnationem, 
sinendi modo, per praeceptionem.",005400240002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 2",005400240002000000000000,
,,Latin,54,24,3,,,n,"Per vindicationem his verbis legamus: ""do lego, capito, sumito, sibi 
habeto"".",005400240003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 3",005400240003000000000000,
,,Latin,54,24,4,,,n,"Per damnationem his verbis: ""heres meus damnas esto dare, dato, facito, 
heredem meum dare iubeo"".",005400240004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 4",005400240004000000000000,
,,Latin,54,24,5,,,n,"Sinendi modo ita: ""heres meus damnas esto sinere Lucium Titium sumere 
illam rem sibique habere"".",005400240005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 5",005400240005000000000000,
,,Latin,54,24,6,,,n,"Per praeceptionem sic: ""Lucius Titius illam rem praecipito"".
",005400240006000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 6",005400240006000000000000,
,,Latin,54,24,7,,,n,"Per vindicationem legari possunt res, quae utroque tempore ex iure 
Quiritium testatoris fuerunt, mortis, et quo testamentum faciebat, 
praeterquam si pondere, numero, mensura contineantur; in his enim satis 
est, si vel mortis dumtaxat tempore fuerint ex iure Quiritium.
",005400240007000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 7",005400240007000000000000,
,,Latin,54,24,8,,,n,"Per damnationem omnes res legari possunt, etiam quae non sunt 
testatoris, dummodo tales sint, quae dari possint.",005400240008000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 8",005400240008000000000000,
,,Latin,54,24,9,,,n,"Liber homo aut res populi aut sacra aut religiosa nec per damnationem 
legari potest, quoniam dari non potest.",005400240009000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 9",005400240009000000000000,
,,Latin,54,24,10,,,n, Sinendi modo legari possunt res propriae testatoris et heredis eius.,005400240010000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 10",005400240010000000000000,
,,Latin,54,24,11,,,n,"Per praeceptionem legari possunt res, quae etiam per vindicationem.",005400240011000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 11",005400240011000000000000,
,,Latin,54,24,12,,,n,"Si ea res, quae non fuit utroque tempore testatoris ex iure 
Quiritium, per vindicationem legata sit, licet iure civili non valeat 
legatum, tamen senatus consulto Neroniano firmatur; quo cautum est, ut 
quod minus pactis aptis +  verbis legatum est, perinde sit, ac si optimo 
iure legatum esset: optimum autem ius legati per damnationem est.",005400240012000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 12",005400240012000000000000,
,,Latin,54,24,13,,,n," Si duobus eadem res per vindicationem legata sit, sive coniunctim velut 
"" Titio hominem Stichum do lego, Seio eundem hominem do lego"", iure 
civili concursu partes fiebant; non concurrente altero pars eius alteri 
adcrescebat: sed post legem Papiam Poppaeam non capientis pars caduca 
fit.",005400240013000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 13",005400240013000000000000,
,,Latin,54,24,14,,,n,"Si per damnationem eadem res duobus legata sit, si quidem coniunctim, 
singulis partes debentur et non capientis pars iure civili in hereditate 
remanebat, nunc autem caduca fit; quodsi disiunctim, singulis solidum 
debetur.",005400240014000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 14",005400240014000000000000,
,,Latin,54,24,15,,,n,"Optione autem legati per vindicationem data, legatarii electio est, 
veluti: ""hominem optato, elegito"", idemque est et si tacite ... Hominem 
... Heres ... Hominem dare, heredis electio est, .... velit dare.",005400240015000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 15",005400240015000000000000,
,,Latin,54,24,16,,,n,"Ante heredis institutionem legari non potest, quoniam et potestas 
testamenti ab heredis institutione incipit.",005400240016000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 16",005400240016000000000000,
,,Latin,54,24,17,,,n,"Post mortem heredis legari non potest, ne ab heredis herede legari 
videatur, quod iuris civilis ratio non patitur. In mortis autem heredis 
tempus legari potest, velut ""cum heres moriatur"".",005400240017000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 17",005400240017000000000000,
,,Latin,54,24,18,,,n,"Poenae causa legari non potest. Poenae autem causa legatur, quod 
coercendi heredis causa relinquitur, ut faciat quid aut non faciat, non 
ut ad legatarium pertineat, ut puta hoc modo: ""si filiam tuam in 
matrimonio Titio conclaveris, decem milia Seio dato.""
",005400240018000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 18",005400240018000000000000,
,,Latin,54,24,19,,,n,"Incertae personae legari non potest, veluti ""quicumque filio meo filiam 
suam in matrimonio conlocaverit, ei heres meus tot milia dato."" Sub certa 
tamen demonstratione incertae personae legari potest, velut ""ex cognatis 
meis, qui nunc sunt, qui primus ad funus meum venerit, ei heres meus 
illud dato.""",005400240019000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 19",005400240019000000000000,
,,Latin,54,24,20,,,n,"Neque ex falsa demonstratione, neque ex falsa causa legatum infirmatur. 
falsa demonstratio est velut ""Titio fundum, quem a Titio emi, do lego, ""
cum is fundus a Titio emptus non sit. falsa causa est velut ""Titio, 
quoniam negotia mea curavit, fundum do lego, ""ut negotia eius numquam 
Titius curasset.",005400240020000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 20",005400240020000000000000,
,,Latin,54,24,21,,,n,A legatario legari non potest.,005400240021000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 21",005400240021000000000000,
,,Latin,54,24,22,,,n,"Legatum ab eo tantum dari potest, qui.... Ideoque filio familiae herede 
instituto vel servo, neque a patre neque a domino legari potest.",005400240022000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 22",005400240022000000000000,
,,Latin,54,24,23,,,n,Heredi a semet ipso legari non potest.,005400240023000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 23",005400240023000000000000,
,,Latin,54,24,24,,,n,"Ei, qui in potestate, manu mancipiove est scripti heredis, sub 
condicione legari potest, ut requiratur, an, quo tempore dies legati 
cedit, in potestate heredis non sit.
",005400240024000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 24",005400240024000000000000,
,,Latin,54,24,25,,,n,"Ei, cuius in potestate, manu mancipiove est heres scriptus, legari non 
potest.",005400240025000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 25",005400240025000000000000,
,,Latin,54,24,26,,,n,"Sicut singulae res legari possunt, ita universarum quoque summa legari 
potest, ut puta hoc modo: ""heres meus cum Titio hereditatem meam 
partito, dividito;"" quo casu dimidia pars bonorum legata videtur: potest 
autem et alia pars, velut tertia vel quarta, legari. Quae species ""
partitio"".....",005400240026000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 26",005400240026000000000000,
,,Latin,54,24,27,,,n,"Ususfructus legari potest iure civili earum rerum, quarum salva 
substantia utendi fruendi potest esse facultas; et tam singularum rerum, 
quam plurium, id est partis.",005400240027000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 27",005400240027000000000000,
,,Latin,54,24,28,,,n,"Senatus consulto cautum est, ut etiamsi earum rerum, quae in abusu 
continentur, ut puta vini, olei, tritici, ususfructus legatus sit, 
legatario res tradantur, cautionibus interpositis de restituendis eis, 
cum ususfructus ad legatarium pertinere desierit.",005400240028000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 28",005400240028000000000000,
,,Latin,54,24,29,,,n,"Civitatibus omnibus, quae sub imperio populi Romani sunt, legari potest; 
idque a divo Nerva introductum, postea a senatu auctore Hadriano 
diligentius constitutum est.
",005400240029000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 29",005400240029000000000000,
,,Latin,54,24,30,,,n,"Legatum, quod datum est, adimi potest vel eodem testamento, vel 
codicillis testamento confirmatis; dum tamen eodem modo adimatur, quo 
modo datum est.",005400240030000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 30",005400240030000000000000,
,,Latin,54,24,31,,,n,"Ad heredem legatarii legata non aliter transeunt, nisi si iam die 
legatorum cedente legatarius decesserit.",005400240031000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 31",005400240031000000000000,
,,Latin,54,24,32,,,n,"Legatorum, quae pure vel in diem certum relicta sunt, dies cedit antiquo 
quidem iure ex mortis testatoris tempore; per legem autem Papiam Poppaeam 
ex apertis tabulis testamenti; eorum vero, quae sub condicione relicta 
sunt, cum conditio extiterit.
",005400240032000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 32",005400240032000000000000,
,,Latin,54,24,33,,,n,"Lex Falcidia iubet, non plus quam dodrantem totius patrimonii legari, ut 
omnimodo quadrans integer apud heredem remaneat.
",005400240033000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 33",005400240033000000000000,
,,Latin,54,24,34,,,n,"Legatorum perperam solutorum repetitio non est.
",005400240034000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 24, 34",005400240034000000000000,
,,Latin,54,25,1,,,n,"Fideicommissum est, quod non civilibus verbis, sed precative 
relinquitur, nec ex rigore iuris civilis proficiscitur, sed ex voluntate 
datur relinquentis.",005400250001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 1",005400250001000000000000,
,,Latin,54,25,2,,,n,"Verba fideicommissorum in usu fere haec sunt: ""fideicommitto"", ""peto"", 
"" volo dari"" et similia.",005400250002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 2",005400250002000000000000,
,,Latin,54,25,3,,,n, Etiam nutu relinquere fideicommissum in usu receptum est.,005400250003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 3",005400250003000000000000,
,,Latin,54,25,4,,,n,"Fideicommissum relinquere possunt, qui testamentum facere possunt, licet 
non fecerint: nam intestatus quis moriturus fideicommissum relinquere 
potest.",005400250004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 4",005400250004000000000000,
